original_mol,orig_score,rationale,rationale_score,hit,round
ONC(=O)c1ccc(cc1)C(=O)N/N=C/c1cc(cc(c1O)[N+](=O)[O-])Br,0.926,O=[N+]([O-])c1c[cH:1]c[cH:1][cH:1]1,0.405,1,PK_37K
[O-][N+](=O)c1ccc(o1)C(=O)Nc1ccccc1Br,0.942,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
CNC1=CC(=O)c2ccccc2C1=O,0.918,O=C1C=C([NH2:1])C(=O)[CH:1]=[CH:1]1,0.983,1,PK_37K
[O-][N+](=O)c1ccc(o1)/C=C/C=N/N1CC(=O)NC1=O,0.988,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
Oc1ccccc1C(=O)c1[nH]c(c(c1-n1c(c(cc1C(=O)c1ccccc1O)Cl)Cl)Cl)Cl,0.909,,,1,PK_37K
[O-][N+](=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc1cc(cc(c1)Cl)Cl,0.923,O=[N+]([O-])c1c[cH:1]c[cH:1]c1,0.405,1,PK_37K
CO/N=C(\\C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,0.994,,,1,PK_37K
[O-][N+](=O)c1cnc(s1)NC(=O)c1cccs1,0.931,O=[N+]([O-])c1cnc([NH2:1])s1,0.923,1,PK_37K
[O-][N+](=O)c1cnc(s1)NC(=O)c1ccc(c(c1)Cl)[N+](=O)[O-],0.982,O=[N+]([O-])c1cnc([NH2:1])s1,0.923,1,PK_37K
Oc1ccc(cc1)C(=O)N/N=C/c1ccc(s1)[N+](=O)[O-],0.944,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)c1cc2ccccc2o1,0.981,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
[O-][N+](=O)c1cccc(c1)NCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],0.984,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
CCCCCC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],0.938,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
Oc1ccccc1C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,0.918,Oc1c([CH3:1])cc(Cl)c[cH:1]1,0.142,1,PK_37K
ONC(=O)c1cccc(c1)C(=O)N/N=C/c1cc(cc(c1O)Cl)Cl,0.916,Oc1c([CH3:1])cc(Cl)c[cH:1]1,0.142,1,PK_37K
CC(C)[C@@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,0.914,,,1,PK_37K
CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccc(cc1)F,0.901,,,1,PK_37K
CC(C)[C@H]1N(C)C(=O)c2ccccc2O[C@H](C)CC=CC[C@H](NC1=O)c1ccccc1,0.921,,,1,PK_37K
CN1C[C@H]2C[C@@H]1CN2c1cc2c(cc1F)C(=O)C(=CN2C1CC1)C(=O)O,0.999,,,1,PK_37K
OC(=O)C1=CN(C2CC2)c2c(cc(c(c2C#N)N2C[C@@H]3NCCO[C@H]3C2)F)C1=O,0.996,,,1,PK_37K
CO/N=C(/C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)CN1C=CC(=N)N1CCO)c1csc(n1)N,0.985,,,1,PK_37K
Oc1ccc2ccccc2c1SSc1c(ccc2ccccc12)O,0.942,Oc1cc[cH:1][cH:1]c1S[SH:1],0.990,1,PK_37K
C[C@H]1COc2c(c(cc3c2N1C=C(C(=O)O)C3=O)F)F,0.993,,,1,PK_37K
[O-][N+](=O)c1ccc(s1)/C=N/NC(=O)Nc1ccccc1,0.932,O=[N+]([O-])c1ccc([CH3:1])s1,0.579,1,PK_37K
CCCCCCC[N+](CC)(CC)CCCCc1ccc(cc1)Cl,0.974,C(CC[N+:1]CCC[CH3:1])C[CH3:1],0.141,1,PK_37K
OC(=O)C[C@@H](S[Au])C(=O)O,1.000,O=C(O)[C@@H](C[CH2:1]O)S[Au],1.000,1,PK_37K
[O-][N+](=O)c1ccc(cc1)NC(=S)NCc1ccc(c(c1)Cl)Cl,0.901,S=[CH:1]NCc1cc[cH:1][cH:1]c1,0.139,1,PK_37K
CO[C@H]1/C=C\\O[C@@]2(C)Oc3c(c(c4c(c3C2=O)C(=O)/C(=C/NN2CCN(C)CC2)[C@@H](NC(=O)/C(=C\\C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C)C4=O)O)C,0.943,,,1,PK_37K
[O-][N+](=O)c1cnc(s1)NC(=O)c1cccc(c1)Cl,0.930,O=[N+]([O-])c1cnc([NH2:1])s1,0.923,1,PK_37K
[O-][N+](=O)c1ccc(o1)/C=N/NS(=O)(=O)c1ccc(cc1)Cl,0.973,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,PK_37K
CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(ccc(c4C(=O)[C@@H]3C(=O)[C@]2(O)C(=C(C(=O)N)C1=O)O)O)Cl,0.946,,,1,PK_37K
O=C1C=CC(=O)c2ccccc21,0.974,C1=C[CH2:1]c2ccccc2[CH2:1]1,0.292,1,PK_37K
[O-][N+](=O)C1=CC=C(O1)C(=O)NC1=C(C=CC=C1)[N+]([O-])=O,0.991,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
[Cl-].[Cl-].Cc1cc(C[n+]2ccccc2)c(C)cc1C[n+]1ccccc1,0.923,,,0,val1
[Cl-].COc1ccc(cc1)C1=C(C[NH+](C)C)C(c2ccccc2)c2ccccc2O1,0.901,,,0,val1
COC(=O)C1=C(NC(=O)C2=CC=C(O2)[N+]([O-])=O)C=CC=C1,0.948,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[Cl-].O1C(C(Sc2cccc[n+]12)c1ccccc1)c1ccccc1,0.940,,,1,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)NCC1=CC=CC=C1,0.910,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
CCOC(=O)CNC(=O)C1=CC=C(O1)[N+]([O-])=O,0.924,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
[O-][N+](=O)c1ccc(o1)C(=O)\\N=c1\\[nH]c2ccccc2s1,0.929,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[O-][N+](=O)c1ccc(o1)C(=O)Nn1cnnc1,0.947,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)NC1=CC=CN=C1,0.934,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
COC(=O)C1=C(NC(=O)C2=CC=C(O2)[N+]([O-])=O)C=CS1,0.958,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[Cl-].Nc1sc2ccccc2[n+]1Cc1ccccc1,0.955,,,0,val1
[Cl-].Clc1ccc(cc1)-c1cn(Cc2ccc(Cl)c(Cl)c2)c2CCC[n+]12,0.945,,,1,val1
[Cl-].Cc1ccc(cc1)-c1cn(Cc2ccc(Cl)c(Cl)c2)c2CCC[n+]12,0.917,,,1,val1
[Cl-].Clc1ccc(Cn2cc(-c3ccccc3)[n+]3CCCc23)cc1Cl,0.935,,,1,val1
[Cl-].CC1(C)C2CCC(C2)C1CC1OCC(C[N+]2(Cc3ccccc3)CCCCC2)O1,0.921,,,0,val1
Cc1cc(nc(n1)N1CCN(CC1)c1ccccc1Cl)C(O)=O,0.939,,,0,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)OCC1=NON=C1COC(=O)C1=CC=C(O1)[N+]([O-])=O,0.940,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[Cl-].[Cl-].CC[N+](C)(CC[N+](CC)(CC)CC)Cc1cc2ccccc2o1,0.926,,,0,val1
[Cl-].C[N+]1(C)Cc2c(C1)c(-c1ccccc1)c1ccccc1c2Cl,0.946,,,0,val1
[Cl-].[Cl-].C(C#Cc1ccc(cc1)C#CC[N+]1(Cc2ccccc2)CCOCC1)[N+]1(Cc2ccccc2)CCOCC1,0.947,,,0,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)NNC(=O)C1=CC=C(C=C1)[N+]([O-])=O,0.910,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
Cl.[O-][N+](=O)c1ccc(o1)C(=O)Nc1nccs1,0.996,Cl.O=[N+]([O-])c1cc[cH:1]o1,0.658,1,val1
[Cl-].[Cl-].CCCCc1n(CCn2cc[n+](C)c2CCCC)cc[n+]1C,0.960,,,0,val1
[Cl-].Nc1ccccc1-[n+]1ccc(cc1)-c1ccncc1,0.904,,,0,val1
[Br-].CCC[N+]1(CC#CCC(c2ccccc2)c2ccccc2)CCCCC1,0.924,,,0,val1
[Cl-].CC(C1OCC(C[N+]2(Cc3ccccc3)CCCCC2)O1)c1ccccc1,0.947,,,0,val1
[Cl-].C[n+]1c(\\C=C\\Nc2ccccc2)sc2ccccc12,0.955,,,0,val1
[Cl-].C(c1nc2ccccc2[nH]1)[P+](c1ccccc1)(c1ccccc1)c1ccccc1,0.936,,,0,val1
[Cl-].[Cl-].C[NH+](C)CCCCC1=CN=C(C)C2=C1C1=C([NH2+]2)C=CC=C1,0.916,,,1,val1
[Cl-].COC1=CC(=CC(\\C=C\\C2=[O+]C3=C(OC)C=C(C=C3C=C2)C(O)=O)=C1O)C(O)=O,0.917,,,0,val1
[Cl-].C(SC1=NC2=CC=CC=[N+]2C2=CC=CC=C12)C1=C2C=CC=CC2=CC=C1,0.929,[Cl-].c1cc(C[SH:1])[cH:1][cH:1]c1,0.113,0,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)NC(=O)NC1=C(F)C=C(F)C=C1,0.921,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
CC(=O)Nc1ncc(s1)-c1ccc(o1)[N+]([O-])=O,0.948,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
OCC12COC(N1C(OC2)C1=CSC(=C1)[N+]([O-])=O)C1=CSC(=C1)[N+]([O-])=O,0.900,O=[N+]([O-])c1cc([CH3:1])cs1,0.479,1,val1
[O-][N+](=O)C1=CC=C(O1)C(=O)NCC1=CC=CS1,0.944,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
[I-].C[n+]1c(\\C=C\\c2ccc(Cl)c(Cl)c2)ccc2ccccc12,0.928,,,1,val1
OCC1=CC(=O)[C@@H]2O[C@@H]2C1=O,0.944,O=C1C=[CH:1]C(=O)[C@H]2O[C@@H]12,0.979,1,val1
Oc1cc(cc2cc(NC(=O)Nc3ccc4c(O)cc(cc4c3)S(O)(=O)=O)ccc12)S(O)(=O)=O,0.830,,,0,val1
[Cl-].CCn1c2ccccc2c(O)c(-[n+]2ccccc2)c1=O,0.965,,,0,val1
[Cl-].N(C1=CC(=[NH+]c2ccccc2)c2ccccc12)c1ccccc1,0.983,,,0,val1
OC(=O)C1=CC=NC(=C1)C1=CC=NC(=N1)N1CC(C1)OC1=C(F)C=CC=C1,0.944,,,0,val1
COC1=CC=C(F)C(CN2CCN(CC2)C2=CC=C(C=C2)C(O)=O)=C1F,0.939,,,0,val1
Cl.OC(=O)c1ccnc(c1)-c1ccnc(n1)N1C[C@@H]2C[C@H]1CN2,0.943,,,0,val1
COC(=O)CNC(=O)C1=CC=C(O1)[N+]([O-])=O,0.968,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
OC(=O)C1=CC=CC(=N1)N1CCC(CC1)OC1=CC(F)=CC=C1,0.958,,,0,val1
[Cl-].[Cl-].C(C1=CC=C(C[N+]2=CC=CC=C2)C2=NSN=C12)[N+]1=CC=CC=C1,0.975,,,0,val1
Cl.OC(=O)c1ccnc(c1)-c1ccnc(n1)N1C[C@@H]2CC[C@H](C1)N2,0.907,,,0,val1
CC1=NC(=NC(=C1)C(F)(F)F)N1CCN(CC1)C1=NC=C(C=C1)C(O)=O,0.964,,,0,val1
CC1=CC=C(CN2CCN(CC2=O)C2=CC=C(Cl)C(=N2)C(O)=O)C=C1,0.913,,,1,val1
OC1=C(C=CC=C1)C(=O)NNC1=CC=C(C=C1[N+]([O-])=O)[N+]([O-])=O,0.927,O=[N+]([O-])c1cc[cH:1][cH:1]c1,0.405,1,val1
CCN1CCN(CC1)C1=C(C=CC(=N1)C1=CC=C(F)C=C1)C(O)=O,0.965,,,0,val1
CCOC(=O)C1=CSC(NC(=O)C2=CC=C(O2)[N+]([O-])=O)=N1,0.954,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
NC1=NC(=CC(NC2CC2)=N1)C1=C(F)C=C(O)C(Cl)=C1,0.911,Oc1c[cH:1]c([CH3:1])cc1Cl,0.118,0,val1
[O-][N+](=O)c1ccc(\\C=C\\N2CCOC2=O)o1,0.929,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,1,val1
CSc1ncc(Cl)c(n1)C(=O)Nc1ncc(s1)[N+]([O-])=O,0.912,O=[N+]([O-])c1cnc([NH2:1])s1,0.923,1,val1
COC(=O)C1=CC=C(NC(=O)C2=CC=C(O2)[N+]([O-])=O)C=C1,0.947,O=[N+]([O-])c1ccc([CH3:1])o1,0.510,0,val1
[Cl-].C(c1ccccc1)[N+]12CCC(CC1)C(C2)=C(c1ccccc1)c1ccccc1,0.958,,,0,val1
OC(=O)c1ccccc1Nc1ccc(cc1)CCc1ccc(c(c1)Cl)Cl,0.788,,,1,val2_val3
OC(=O)c1ccc(cc1)Nc1nc(cs1)-c1ccc(c(c1)Cl)Cl,0.677,,,1,val2_val3
C[C@@H](Oc1cc(cnc1N)-c1cnn(c1)C1CCNCC1)c1c(ccc(c1Cl)F)Cl,0.547,,,1,val2_val3
Cn1ccnc1-c1noc(n1)NC(=O)c1cc(cc(c1)Cl)Cl,0.222,,,1,val2_val3
OC1=C(O)C(=O)C(=C2NNC=C2Oc2ccccc2)C=C1,0.617,O=C1C(=[CH2:1])C=CC(O)=[CH:1]1,0.900,1,val2_val3
ClC1=C(N2CCOCC2)C(=O)N(C1=O)c1ccc(c(c1)Cl)Cl,0.804,,,1,val2_val3
C[C@H]1CC(=O)N[C@@H](C/C=C\\C[C@@H](NC1=O)c1ccc2c(c1)OCO2)c1ccccc1,0.371,,,1,val2_val3
CC(=CCc1c(cc(c2c1OC(=C(O)C2=O)c1ccc(cc1)C(F)(F)F)O)O)C,0.647,O=c1c(O)c([CH3:1])o[cH:1][cH:1]1,0.131,1,val2_val3
Clc1ccc(c(c1)Cl)N1CC[C@@H](N2CCS(=O)CC2)C1=O,0.376,,,1,val2_val3
C[C@H]1CC(=O)N[C@H](C/C=C\\C[C@@H](NC1=O)c1ccc2c(c1)OCO2)c1ccccc1,0.508,,,1,val2_val3
Oc1c(cc(cc1/C=N/c1ccccc1N1CCCC1)Cl)Cl,0.622,Oc1c([CH3:1])cc(Cl)c[cH:1]1,0.142,1,val2_val3
COc1ccc(c(c1)OC)[C@@H]1C/C=C\\C[C@H](NC(=O)CCC(=O)N1)c1ccc2c(c1)OCO2,0.702,c1cc([CH3:1])c([OH:1])cc1[OH:1],0.179,0,val2_val3
Cn1c(nnc1-c1ccc(c(c1)Cl)Cl)SCC(=O)Nc1ccc(c(c1)Cl)Cl,0.670,,,0,val2_val3
COc1ccc(c(c1)OC)[C@@H]1C/C=C\\C[C@@H](NC(=O)CCC(=O)N1)c1ccc2c(c1)OCO2,0.541,c1cc([CH3:1])c([OH:1])cc1[OH:1],0.179,0,val2_val3
CCNC1=CC(=N)N(CC)c2n[nH]c(c21)/N=C/c1cc(cc(c1O)Cl)Cl,0.423,Oc1c([CH3:1])cc(Cl)c[cH:1]1,0.142,0,val2_val3
C[C@@H](NC(=O)c1ncnc(c1Cl)N)c1ncc(s1)C(=O)Nc1cc(c(cn1)Cl)C(F)(F)F,0.647,,,0,val2_val3
CO[C@H](CN(C)C(=O)c1cc(cc(c1)Cl)Cl)[C@@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)F,0.498,,,0,val2_val3
CO[C@@H](CN(C)C(=O)c1cc(cc(c1)Cl)Cl)[C@@H](C)CN([C@H](C)CO)C(=O)Nc1ccc(cc1)F,0.394,,,0,val2_val3
COc1ccc(c(c1)OC)[C@H]1C/C=C\\C[C@@H](NC(=O)CCC(=O)N1)c1ccc2c(c1)OCO2,0.417,c1cc([CH3:1])c([OH:1])cc1[OH:1],0.179,0,val2_val3
Cc1c(c(c2c(c1O)C(=O)C=C(O2)c1ccccc1O)C)O,0.685,,,0,val2_val3
Clc1ccc(cc1Cl)N1CC[C@@H](NC(=O)c2ccon2)C1=O,0.628,,,0,val2_val3
CC(C)[C@H]1Cc2c(sc3nc(nc(c23)N)SCc2ccc(c(c2)Cl)Cl)CO1,0.364,Clc1ccc(C[SH:1])c[cH:1]1,0.279,0,val2_val3
Fc1ccc(cc1)C(=O)Nc1nc2c(ccc(c2s1)Cl)Cl,0.317,Clc1cc[cH:1]c2s[cH:1]nc12,0.151,0,val2_val3
O=C1C(=CSc2ccccc21)N1CCOCC1,0.311,,,0,val2_val3
CO[C@@H](CN(C)C(=O)c1cc(cc(c1)Cl)Cl)[C@H](C)CN([C@@H](C)CO)C(=O)Nc1ccc(cc1)F,0.166,,,0,val2_val3
C[C@@H]1C/C=C\\[C@H]2[C@@H](O)C(=C)[C@@H](C)[C@H]3[C@@H](Cc4ccccc4)NC(=O)[C@]23[C@@H](O)/C=C\\[C@](C)(O)C1,0.671,,,0,val2_val3
CN(C)C1CCN(CC1)C(=O)C1=NO[C@]2(CCN(Cc3ccc(c(c3)F)Cl)C2)C1,0.070,,,0,val2_val3
ClC1=C(N2CCN(CC2)c2ccccc2)C(=O)N(C1=O)c1cc(ccc1Cl)Cl,0.568,,,0,val2_val3
Cn1cncc1CN[C@H]1CCN(C1)c1ccc(cc1Cl)Cl,0.469,,,0,val2_val3
C[C@@H](Oc1ccc(cc1Cl)Cl)C(=O)Nc1cccc(c1N1CCOCC1)Cl,0.559,,,0,val2_val3
FC(F)(F)c1ccc(nc1)S(=O)(=O)CCOC(=O)c1ccc(c(c1)Cl)Cl,0.715,,,0,val2_val3
S=C(SCc1ccc(cc1)CSC(=S)N1CCOCC1)N1CCOCC1,0.900,S=[CH:1]SCc1cc[cH:1]cc1,0.689,0,val2_val3
COc1ccc(c(c1)OC)[C@H]1C/C=C\\C[C@H](NC(=O)CCC(=O)N1)c1ccc2c(c1)OCO2,0.544,,,0,val2_val3
Cc1c(cc2c(c1O)CO[C@](O)(CCCO)C2=O)O,0.509,O=C1[CH:1]=[CH:1]CO[C:1]1C[CH3:1],0.724,0,val2_val3
